title,title_type,genre,runtime,mpaa_rating,studio,thtr_rel_year,thtr_rel_month,thtr_rel_day,dvd_rel_year,dvd_rel_month,dvd_rel_day,imdb_rating,imdb_num_votes,critics_rating,critics_score,audience_rating,audience_score,best_pic_nom,best_pic_win,best_actor_win,best_actress_win,best_dir_win,top200_box,director,actor1,actor2,actor3,actor4,actor5,imdb_url,rt_url
The Hurt Locker,Feature Film,Drama,131,R,Summit Entertainment,2009,6,26,2010,1,12,7.6,318019,Certified Fresh,98,Upright,84,no,yes,no,no,yes,no,Kathryn Bigelow,Jeremy Renner,Anthony Mackie,Brian Geraghty,Guy Pearce,Ralph Fiennes,http://www.imdb.com/title/tt0887912/,//www.rottentomatoes.com/m/hurt_locker/
A Prayer for the Dying,Feature Film,Drama,107,R,Virgin Vision,1987,9,1,2003,2,4,6.4,3342,Fresh,63,Spilled,55,no,no,no,no,no,no,Mike Hodges,Mickey Rourke,Bob Hoskins,Alan Bates,Sammi Davis,Christopher Fulford,http://www.imdb.com/title/tt0093771/,//www.rottentomatoes.com/m/a_prayer_for_the_dying/
Conversations With Other Women,Feature Film,Drama,84,R,Fabrication Films,2006,8,11,2007,1,9,7.1,9939,Fresh,74,Upright,76,no,no,no,no,no,no,Hans Canosa,Aaron Eckhart,Brian Geraghty,Brianna Brown,Olivia Wilde,Thomas Lennon,http://www.imdb.com/title/tt0435623/,//www.rottentomatoes.com/m/conversations_with_other_women/
Sleepwalking,Feature Film,Drama,101,R,Overture Films,2008,1,22,2008,7,8,6.2,4857,Rotten,17,Spilled,43,no,no,no,yes,no,no,Bill Maher,Charlize Theron,Nick Stahl,Annasophia Robb,Dennis Hopper,Woody Harrelson,http://www.imdb.com/title/tt0888693/,//www.rottentomatoes.com/m/sleepwalking/
"Next Stop, Greenwich Village",Feature Film,Drama,111,R,20th Century Fox Film Corporation,1976,2,4,2005,12,13,6.9,1428,Fresh,73,Upright,62,no,no,no,no,no,no,Paul Mazursky,Lenny Baker,Shelley Winters,Christopher Walken,Ellen Greene,Lois Smith,http://www.imdb.com/title/tt0074963/,//www.rottentomatoes.com/m/next_stop_greenwich_village/
Resurrecting the Champ,Feature Film,Drama,112,PG-13,Yari Film Group Releasing,2007,8,24,2008,2,26,6.8,18141,Fresh,60,Upright,60,no,no,no,no,no,no,Rod Lurie,Samuel L. Jackson,Josh Hartnett,Kathryn Morris,Alan Alda,Rachel Nichols,http://www.imdb.com/title/tt0416185/,//www.rottentomatoes.com/m/resurrecting_the_champ/
The Help,Feature Film,Drama,146,PG-13,DreamWorks Studios,2011,8,10,2011,12,6,8.1,303529,Certified Fresh,76,Upright,89,yes,no,no,no,no,no,Tate Taylor,Emma Stone,Viola Davis,Bryce Dallas Howard,Octavia Spencer,Jessica Chastain,http://www.imdb.com/title/tt1454029/,//www.rottentomatoes.com/m/the_help/
A Scanner Darkly,Feature Film,Drama,100,R,Warner Independent Pictures,2006,7,28,2006,12,19,7.1,86953,Fresh,69,Upright,74,no,no,no,no,no,no,Richard Linklater,Keanu Reeves,Robert Downey Jr.,Woody Harrelson,Winona Ryder,Rory Cochrane,http://www.imdb.com/title/tt0405296/,//www.rottentomatoes.com/m/scanner_darkly/
Hard Candy,Feature Film,Drama,104,R,Lions Gate Films,2006,4,14,2006,9,19,7.1,128361,Fresh,68,Upright,78,no,no,no,no,no,no,David Slade,Ellen Page,Patrick Wilson,Sandra Oh,Jennifer Holmes,G.J. Echternkamp,http://www.imdb.com/title/tt0424136/,//www.rottentomatoes.com/m/hard_candy/
This Is the End,Feature Film,Drama,107,R,Sony Pictures,2013,6,12,2013,10,1,6.7,297034,Certified Fresh,83,Upright,71,no,no,no,no,no,no,Seth Rogen,James Franco,Jonah Hill,Danny McBride,Craig Robinson,Michael Cera,http://www.imdb.com/title/tt1245492/,//www.rottentomatoes.com/m/this_is_the_end/
Longtime Companion,Feature Film,Drama,96,R,Samuel Goldwyn Company,1990,5,11,2001,1,23,7.6,4143,Fresh,100,Upright,82,no,no,no,no,no,no,Norman Rene,Bruce Davison,Mark Lamos,Campbell Scott,Stephen Caffrey,Patrick Cassidy,http://www.imdb.com/title/tt0100049/,//www.rottentomatoes.com/m/longtime_companion/
"Aguirre, der Zorn Gottes (Aguirre, the Wrath of God)",Feature Film,Drama,93,R,New Yorker Films,1972,12,29,2000,10,24,8,36909,Fresh,98,Upright,91,no,no,no,no,no,no,Werner Herzog,Klaus Kinski,Ruy Guerra,Ruy Guerra,Del Negro,Del Negro,http://www.imdb.com/title/tt0068182/,//www.rottentomatoes.com/m/aguirre_the_wrath_of_god/
Inserts,Feature Film,Drama,117,NC-17,NA,1975,1,1,2005,8,23,6.4,1043,Fresh,80,Spilled,56,no,no,yes,no,no,no,John Byrum,Richard Dreyfuss,Jessica Harper,Stephen Davies,Veronica Cartwright,Bob Hoskins,http://www.imdb.com/title/tt0073172/,//www.rottentomatoes.com/m/inserts/
Valmont,Feature Film,Drama,137,R,Orion Home Video,1989,11,1,2002,5,14,7,9725,Rotten,54,Upright,70,no,no,yes,no,no,no,Milos Forman,Colin Firth,Annette Bening,Meg Tilly,Fairuza Balk,Sian Phillips,http://www.imdb.com/title/tt0098575/,//www.rottentomatoes.com/m/valmont/
Kill Bill: Volume 2,Feature Film,Drama,137,R,Miramax Films,2004,4,16,2004,8,10,8,490295,Certified Fresh,84,Upright,89,no,no,no,no,no,no,Quentin Tarantino,Uma Thurman,David Carradine,Michael Madsen,Daryl Hannah,Gordon Liu,http://www.imdb.com/title/tt0378194/,//www.rottentomatoes.com/m/kill_bill_volume_2/
Meteor,Feature Film,Drama,108,PG,American International Pictures,1979,10,19,2000,3,7,4.9,5136,Rotten,5,Spilled,13,no,no,no,no,no,no,Ronald Neame,Sean Connery,Natalie Wood,Karl Malden,Brian Keith,Martin Landau,http://www.imdb.com/title/tt0079550/,//www.rottentomatoes.com/m/1013772-meteor/
Stolen Summer,Feature Film,Drama,91,PG,Miramax Films,2002,3,22,2002,9,24,6.5,2408,Rotten,36,Upright,68,no,no,no,no,no,no,Pete Jones,Aidan Quinn,Bonnie Hunt,Adiel Stein,Kevin Pollak,Adi Stein,http://www.imdb.com/title/tt0286162/,//www.rottentomatoes.com/m/stolen_summer/
Mr. Jones,Feature Film,Drama,114,R,Sony Pictures Home Entertainment,1993,10,8,2000,1,25,5.7,5425,Rotten,46,Spilled,51,no,no,no,yes,no,no,Mike Figgis,Richard Gere,Lena Olin,Anne Bancroft,Delroy Lindo,Tom Irwin,http://www.imdb.com/title/tt0107611/,//www.rottentomatoes.com/m/mr_jones/
The Take,Feature Film,Drama,96,R,Hatchet Films,2007,4,11,2008,5,27,5.8,1886,Fresh,85,Spilled,49,no,no,no,no,no,no,Brad Furman,John Leguizamo,Tyrese Gibson,Rosie Perez,Bobby Cannavale,Yul Vazquez,http://www.imdb.com/title/tt0828158/,//www.rottentomatoes.com/m/1194326-take/
A Star is Born,Feature Film,Drama,139,R,Warner Bros. Pictures,1976,12,17,2004,9,21,6.5,4874,Rotten,31,Upright,69,yes,no,no,yes,no,no,Frank R. Pierson,Barbra Streisand,Kris Kristofferson,Gary Busey,Oliver Clark,Vanetta Fields,http://www.imdb.com/title/tt0075265/,//www.rottentomatoes.com/m/1019831-star_is_born/
The Belly of an Architect,Feature Film,Drama,119,R,Hemdale,1987,1,1,2004,6,15,7,4121,Fresh,91,Upright,80,no,no,no,no,no,no,Peter Greenaway,Brian Dennehy,Chloe Webb,Lambert Wilson,Sergio Fantoni,Vanni Corbellini,http://www.imdb.com/title/tt0092637/,//www.rottentomatoes.com/m/belly_of_an_architect/
Veronica Mars,Feature Film,Drama,107,PG-13,Warner Bros.,2014,3,14,2014,5,6,6.8,40133,Certified Fresh,78,Upright,79,no,no,no,no,no,no,Rob Thomas (III),Kristen Bell,Ryan Hansen,Jason Dohring,Chris Lowell,Tina Majorino,http://www.imdb.com/title/tt2771372/,//www.rottentomatoes.com/m/veronica_mars/
21 Grams,Feature Film,Drama,124,R,Universal Pictures,2003,11,21,2004,3,16,7.7,183747,Certified Fresh,80,Upright,86,no,no,yes,no,yes,no,Alejandro Gonzalez Inarritu,Sean Penn,Naomi Watts,Benicio Del Toro,Charlotte Gainsbourg,Melissa Leo,http://www.imdb.com/title/tt0315733/,//www.rottentomatoes.com/m/21_grams/
Thunderheart,Feature Film,Drama,119,R,Sony Pictures Home Entertainment,1992,4,1,2000,11,7,6.8,11103,Fresh,87,Upright,75,no,no,no,no,no,no,Michael Apted,Val Kilmer,Sam Shepard,Graham Greene (II),Fred Ward,Fred Dalton Thompson,http://www.imdb.com/title/tt0105585/,//www.rottentomatoes.com/m/thunderheart/
Brubaker,Feature Film,Drama,131,R,20th Century Fox Film Corporation,1980,6,20,2003,5,20,7.1,11236,Fresh,75,Upright,74,no,no,no,no,no,no,Stuart Rosenberg,Robert Redford,Yaphet Kotto,Jane Alexander,Murray Hamilton,David Keith,http://www.imdb.com/title/tt0080474/,//www.rottentomatoes.com/m/brubaker/
Melancholia,Feature Film,Drama,130,R,Magnolia Pictures,2011,11,11,2012,3,13,7.1,122980,Certified Fresh,79,Upright,67,no,no,no,no,no,no,Lars von Trier,Kirsten Dunst,Charlotte Gainsbourg,Kiefer Sutherland,John Hurt,Alexander Skarsgard,http://www.imdb.com/title/tt1527186/,//www.rottentomatoes.com/m/melancholia-2008/
The Man with the Golden Gun,Feature Film,Drama,125,PG,MGM Home Entertainment,1974,12,18,2002,10,22,6.8,71141,Rotten,45,Spilled,57,no,no,no,no,no,no,Guy Hamilton,Roger Moore,Christopher Lee,Britt Ekland,Maud Adams,Herve Villechaize,http://www.imdb.com/title/tt0071807/,//www.rottentomatoes.com/m/man_with_the_golden_gun/
Diner,Feature Film,Drama,110,R,MGM Home Entertainment,1982,4,2,2000,4,4,7.2,14589,Fresh,91,Upright,78,no,no,no,no,yes,no,Barry Levinson,Steve Guttenberg,Daniel Stern,Mickey Rourke,Kevin Bacon,Tim Daly,http://www.imdb.com/title/tt0083833/,//www.rottentomatoes.com/m/diner/
Ragtime,Feature Film,Drama,155,PG,Paramount Pictures,1981,11,20,2004,11,16,7.3,6472,Fresh,90,Upright,76,no,no,yes,no,no,no,Milos Forman,James Cagney,Elizabeth McGovern,Brad Dourif,Moses Gunn,Kenneth McMillan,http://www.imdb.com/title/tt0082970/,//www.rottentomatoes.com/m/ragtime/
One Day,Feature Film,Drama,107,PG-13,Focus Features,2011,8,19,2011,11,29,7,100416,Rotten,36,Spilled,49,no,no,no,no,no,no,Lone Scherfig,Anne Hathaway,Jim Sturgess,Tom Mison,Jodie Whittaker,Rafe Spall,http://www.imdb.com/title/tt1563738/,//www.rottentomatoes.com/m/one_day_2014/
Rambling Rose,Feature Film,Drama,112,R,Live Home Video,1991,9,10,1999,3,16,6.7,3866,Fresh,100,Spilled,51,no,no,yes,no,no,no,Martha Coolidge,Laura Dern,Robert Duvall,Diane Ladd,Lukas Haas,John Heard,http://www.imdb.com/title/tt0102753/,//www.rottentomatoes.com/m/rambling_rose/
V.I. Warshawski,Feature Film,Drama,89,R,Hollywood Pictures,1991,7,26,2002,6,4,4.8,3883,Rotten,17,Spilled,24,no,no,no,no,no,no,Jeff Kanew,Kathleen Turner,Jay O Sanders,Charles Durning,Angela Goethals,Nancy Paul,http://www.imdb.com/title/tt0103184/,//www.rottentomatoes.com/m/vi_warshawski/
Glory,Feature Film,Drama,122,R,TriStar,1989,12,15,1998,1,1,7.9,99582,Certified Fresh,93,Upright,93,no,no,yes,no,no,no,Edward Zwick,Matthew Broderick,Denzel Washington,Cary Elwes,Morgan Freeman,Andre Braugher,http://www.imdb.com/title/tt0097441/,//www.rottentomatoes.com/m/1008415-glory/
Blue Valentine,Feature Film,Drama,112,R,Weinstein Company,2010,12,29,2011,5,10,7.4,135840,Certified Fresh,88,Upright,77,no,no,no,no,no,no,Andrij Parekh,Ryan Gosling,Michelle Williams,Faith Wladyka,John Doman,Mike Vogel,http://www.imdb.com/title/tt1120985/,//www.rottentomatoes.com/m/blue_valentine/
The Other Sister,Feature Film,Drama,129,PG-13,Buena Vista,1999,2,26,2001,4,17,6.4,10126,Rotten,29,Upright,72,no,no,no,yes,no,no,Garry Marshall,Juliette Lewis,Diane Keaton,Tom Skerritt,Giovanni Ribisi,Poppy Montgomery,http://www.imdb.com/title/tt0123209/,//www.rottentomatoes.com/m/other_sister/
The Astronaut Farmer,Feature Film,Drama,104,PG,Warner Independent Pictures,2006,10,15,2007,7,10,6.3,19383,Rotten,57,Spilled,49,no,no,no,no,no,no,Michael Polish,Virginia Madsen,Bruce Dern,Tim Blake Nelson,Jasper Polish,Logan Polish,http://www.imdb.com/title/tt0469263/,//www.rottentomatoes.com/m/astronaut_farmer/
Good Will Hunting,Feature Film,Drama,126,R,Miramax Films,1997,12,5,1998,12,8,8.3,572236,Certified Fresh,97,Upright,94,yes,no,no,no,no,no,Gus Van Sant,Matt Damon,Robin Williams,Ben Affleck,Minnie Driver,Casey Affleck,http://www.imdb.com/title/tt0119217/,//www.rottentomatoes.com/m/good_will_hunting/
Town & Country,Feature Film,Drama,104,R,New Line Cinema,2000,9,1,2001,10,16,4.3,4072,Rotten,13,Spilled,14,no,no,no,yes,no,no,Boris Damast,Warren Beatty,Diane Keaton,Goldie Hawn,Garry Shandling,Andie MacDowell,http://www.imdb.com/title/tt0141907/,//www.rottentomatoes.com/m/town_and_country/
Simone,Feature Film,Drama,117,PG-13,New Line Cinema,2002,8,23,2003,1,21,6.1,51070,Rotten,51,Spilled,35,no,no,yes,no,no,no,Andrew Niccol,Al Pacino,Catherine Keener,Rachel Roberts,Evan Rachel Wood,Jay Mohr,http://www.imdb.com/title/tt0258153/,//www.rottentomatoes.com/m/simone_2002/
The Adjuster,Feature Film,Drama,102,R,Alliance Atlantis Communications,1992,5,29,2001,4,10,6.8,2530,Fresh,73,Upright,73,no,no,no,no,no,no,Atom Egoyan,Elias Koteas,Arsinee Khanjian,Maury Chaykin,Gabrielle Rose,Jennifer Dale,http://www.imdb.com/title/tt0101273/,//www.rottentomatoes.com/m/adjuster/
Turistas (Paradise Lost),Feature Film,Drama,93,R,Fox Atomic,2006,12,1,2007,3,27,5.3,30495,Rotten,16,Spilled,28,no,no,no,no,no,no,John Stockwell,Melissa George,Josh Duhamel,Olivia Wilde,Desmond Askew,Beau Garrett,http://www.imdb.com/title/tt0454970/,//www.rottentomatoes.com/m/turistas/
The Prestige,Feature Film,Drama,130,PG-13,Buena Vista Pictures,2006,10,20,2007,2,20,8.5,797101,Certified Fresh,76,Upright,92,no,no,no,no,no,no,Christopher Nolan,Hugh Jackman,Christian Bale,Michael Caine,Piper Perabo,Rebecca Hall,http://www.imdb.com/title/tt0482571/,//www.rottentomatoes.com/m/prestige/
Waist Deep,Feature Film,Drama,97,R,Focus Features,2006,6,23,2006,10,10,5.9,8059,Rotten,27,Upright,76,no,no,no,no,no,no,Stan Lathan,Tyrese Gibson,Meagan Good,The Game,Paul Terrel Clayton,Darris Love,http://www.imdb.com/title/tt0456020/,//www.rottentomatoes.com/m/waist_deep/
The Science of Sleep,Feature Film,Drama,105,R,Warner Independent Pictures,2006,6,18,2007,2,5,7.3,60483,Fresh,71,Upright,81,no,no,no,no,no,no,Michel Gondry,Gael Garcia Bernal,Miou Miou,Charlotte Gainsbourg,Alain Chabat,Miou-Miou,http://www.imdb.com/title/tt0354899/,//www.rottentomatoes.com/m/the_science_of_sleep/
Gracie,Feature Film,Drama,95,PG-13,Picturehouse,2007,6,1,2007,9,17,6.2,3602,Fresh,60,Spilled,58,no,no,no,no,no,no,Davis Guggenheim,Carly Schroeder,Elisabeth Shue,Dermot Mulroney,Andrew Shue,Joshua Caras,http://www.imdb.com/title/tt0441007/,//www.rottentomatoes.com/m/gracie/
Moonstruck,Feature Film,Drama,102,PG,MGM Home Entertainment,1987,12,18,1998,6,30,7.1,34307,Certified Fresh,92,Upright,81,yes,no,yes,yes,no,no,Norman Jewison,Cher,Nicolas Cage,Olympia Dukakis,Fyodor Chaliapin,Vincent Gardenia,http://www.imdb.com/title/tt0093565/,//www.rottentomatoes.com/m/moonstruck/
World Trade Center,Feature Film,Drama,129,PG-13,Paramount Pictures,2006,8,9,2007,1,29,6,66171,Fresh,68,Upright,60,no,no,yes,no,yes,no,Oliver Stone,Nicolas Cage,Michael Pena,Maggie Gyllenhaal,Maria Bello,Stephen Dorff,http://www.imdb.com/title/tt0469641/,//www.rottentomatoes.com/m/world_trade_center/
The Portrait of a Lady,Feature Film,Drama,144,PG-13,PolyGram Video,1996,12,24,1999,9,14,6.3,8685,Rotten,43,Spilled,52,no,no,no,yes,no,no,Jane Campion,Nicole Kidman,John Malkovich,Barbara Hershey,Mary-Louise Parker,Martin Donovan,http://www.imdb.com/title/tt0117364/,//www.rottentomatoes.com/m/1074321-portrait_of_a_lady/
While You Were Sleeping,Feature Film,Drama,103,PG,Buena Vista Pictures,1995,4,21,1998,2,3,6.6,68871,Certified Fresh,80,Upright,79,no,no,no,yes,no,no,Jon Turteltaub,Sandra Bullock,Bill Pullman,Peter Gallagher,Peter Boyle,Jack Warden,http://www.imdb.com/title/tt0114924/,//www.rottentomatoes.com/m/while_you_were_sleeping/
No Country for Old Men,Feature Film,Drama,122,R,Miramax Films,2007,11,21,2009,4,7,8.1,582091,Certified Fresh,93,Upright,86,yes,yes,no,no,yes,no,Joel Coen,Tommy Lee Jones,Javier Bardem,Josh Brolin,Woody Harrelson,Kelly Macdonald,http://www.imdb.com/title/tt0477348/,//www.rottentomatoes.com/m/no_country_for_old_men/
Dare,Feature Film,Drama,92,R,Image Entertainment,2009,11,13,2010,2,9,5.9,3473,Fresh,60,Spilled,34,no,no,no,no,no,no,Adam Salky,Emmy Rossum,Zach Gilford,Ashley Springer,Ana Gasteyer,Alan Cumming,http://www.imdb.com/title/tt1241316/,//www.rottentomatoes.com/m/dare/
The Fifth Element,Feature Film,Drama,126,PG-13,Sony Pictures Home Entertainment,1997,5,9,1997,12,9,7.6,329613,Fresh,71,Upright,87,no,no,no,no,no,no,Luc Besson,Bruce Willis,Ian Holm,Gary Oldman,Chris Tucker,Luke Perry,http://www.imdb.com/title/tt0119116/,//www.rottentomatoes.com/m/fifth_element/
The Greatest Game Ever Played,Feature Film,Drama,120,PG,Buena Vista Pictures,2005,9,30,2006,4,11,7.5,21623,Fresh,63,Upright,82,no,no,no,no,no,no,Bill Paxton,Shia LaBeouf,Stephen Dillane,Elias Koteas,Josh Flitter,Peyton List,http://www.imdb.com/title/tt0388980/,//www.rottentomatoes.com/m/greatest_game_ever_played/
Bootmen,Feature Film,Drama,95,R,Twentieth Century Fox Home Entertainment,2000,10,6,2004,9,7,6.2,1935,Rotten,35,Upright,70,no,no,no,no,no,no,Dein Perry,Adam Garcia,Sophie Lee,Sam Worthington,William Zappa,Richard Carter,http://www.imdb.com/title/tt0210584/,//www.rottentomatoes.com/m/bootmen/
My Dinner with Andre,Feature Film,Drama,110,PG,New Yorker Films,1981,10,11,2001,2,13,7.8,10522,Fresh,91,Upright,86,no,no,no,no,no,no,Louis Malle,Jean Lenauer,Roy Butler,Andre Gregory,Wallace Shawn,NA,http://www.imdb.com/title/tt0082783/,//www.rottentomatoes.com/m/my_dinner_with_andre/
Naked Lunch,Feature Film,Drama,115,R,Twentieth Century Fox Home Entertainment,1991,12,27,2003,11,11,7.1,34298,Fresh,71,Upright,77,no,no,no,no,no,no,David Cronenberg,Peter Weller,Judy Davis,Ian Holm,Julian Davis,Roy Scheider,http://www.imdb.com/title/tt0102511/,//www.rottentomatoes.com/m/naked_lunch/
The Whole Wide World,Feature Film,Drama,111,PG,Sony Entertainment,1996,12,1,2003,7,29,7.3,2869,Fresh,81,Upright,72,no,no,no,no,no,no,Dan Ireland,Vincent D'Onofrio,Renee Zellweger,Ann Wedgeworth,Harve Presnell,Benjamin Mouton,http://www.imdb.com/title/tt0118163/,//www.rottentomatoes.com/m/whole_wide_world/
Swordfish,Feature Film,Drama,99,R,Warner Bros. Pictures,2001,6,8,2001,10,30,6.5,152216,Rotten,26,Upright,60,no,no,no,yes,no,no,Dominic Sena,John Travolta,Hugh Jackman,Halle Berry,Don Cheadle,Vinnie Jones,http://www.imdb.com/title/tt0244244/,//www.rottentomatoes.com/m/swordfish/
The Time Traveler's Wife,Feature Film,Drama,107,PG-13,Warner Bros. Pictures,2009,8,14,2010,2,9,7.1,110540,Rotten,38,Spilled,59,no,no,no,no,no,no,Robert Schwentke,Rachel McAdams,Eric Bana,Arliss Howard,Ron Livingston,Stephen Tobolowsky,http://www.imdb.com/title/tt0452694/,//www.rottentomatoes.com/m/time_travelers_wife/
Breathless,Feature Film,Drama,100,R,Orion Pictures Corporation,1983,5,13,2001,5,15,5.7,6343,Fresh,67,Spilled,49,no,no,no,no,no,no,Jim McBride,Richard Gere,Valerie Kaprisky,Art Metrano,John P. Ryan,William Tepper,http://www.imdb.com/title/tt0085276/,//www.rottentomatoes.com/m/1003066-breathless/
Bookies,Feature Film,Drama,88,R,MGM Home Entertainment,2004,9,1,2004,8,31,6,1890,Fresh,67,Spilled,49,no,no,no,no,no,no,Mark Illsley,Nick Stahl,Lukas Haas,Johnny Galecki,Rachael Leigh Cook,David Proval,http://www.imdb.com/title/tt0302361/,//www.rottentomatoes.com/m/bookies/
